timestamp,version,asset,total_count,hourly_delta,delta_24h
2026-02-22 16:23,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3967,0,0
2026-02-22 16:23,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1553,0,0
2026-02-22 16:23,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-22 16:23,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-22 16:23,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-22 16:23,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-22 16:23,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-22 16:23,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-22 16:23,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-22 16:23,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-22 16:23,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-22 16:23,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-22 16:23,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-22 16:34,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3967,0,0
2026-02-22 16:34,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1553,0,0
2026-02-22 16:34,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-22 16:34,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-22 16:34,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-22 16:34,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-22 16:34,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-22 16:34,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-22 16:34,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-22 16:34,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-22 16:34,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-22 16:34,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-22 16:34,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-22 16:42,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3967,0,0
2026-02-22 16:42,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1553,0,0
2026-02-22 16:42,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-22 16:42,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-22 16:42,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-22 16:42,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-22 16:42,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-22 16:42,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-22 16:42,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-22 16:42,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-22 16:42,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-22 16:42,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-22 16:42,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-22 17:24,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3972,5,5
2026-02-22 17:24,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1553,0,0
2026-02-22 17:24,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-22 17:24,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-22 17:24,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-22 17:24,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-22 17:24,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-22 17:24,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-22 17:24,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-22 17:24,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-22 17:24,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-22 17:24,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-22 17:24,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-22 18:23,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3977,5,10
2026-02-22 18:23,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1555,2,2
2026-02-22 18:23,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-22 18:23,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-22 18:23,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-22 18:23,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-22 18:23,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-22 18:23,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-22 18:23,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-22 18:23,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-22 18:23,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-22 18:23,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-22 18:23,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-22 19:24,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3978,1,11
2026-02-22 19:24,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1556,1,3
2026-02-22 19:24,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-22 19:24,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-22 19:24,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-22 19:24,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-22 19:24,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-22 19:24,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-22 19:24,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-22 19:24,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-22 19:24,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-22 19:24,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-22 19:24,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-22 20:24,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3980,2,13
2026-02-22 20:24,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1556,0,3
2026-02-22 20:24,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-22 20:24,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-22 20:24,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-22 20:24,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-22 20:24,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-22 20:24,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-22 20:24,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-22 20:24,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-22 20:24,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-22 20:24,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-22 20:24,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-22 21:24,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3983,3,16
2026-02-22 21:24,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1557,1,4
2026-02-22 21:24,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-22 21:24,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-22 21:24,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-22 21:24,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-22 21:24,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-22 21:24,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-22 21:24,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-22 21:24,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-22 21:24,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-22 21:24,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-22 21:24,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-22 22:24,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3986,3,19
2026-02-22 22:24,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1558,1,5
2026-02-22 22:24,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-22 22:24,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-22 22:24,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-22 22:24,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-22 22:24,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-22 22:24,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-22 22:24,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-22 22:24,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-22 22:24,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-22 22:24,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-22 22:24,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-22 23:23,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3989,3,22
2026-02-22 23:23,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1559,1,6
2026-02-22 23:23,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-22 23:23,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-22 23:23,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-22 23:23,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-22 23:23,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-22 23:23,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-22 23:23,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-22 23:23,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-22 23:23,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-22 23:23,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-22 23:23,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-23 00:23,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3992,3,25
2026-02-23 00:23,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1559,0,6
2026-02-23 00:23,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-23 00:23,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-23 00:23,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-23 00:23,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-23 00:23,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-23 00:23,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-23 00:23,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-23 00:23,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-23 00:23,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-23 00:23,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-23 00:23,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-23 01:25,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3993,1,26
2026-02-23 01:25,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1560,1,7
2026-02-23 01:25,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-23 01:25,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-23 01:25,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-23 01:25,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-23 01:25,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-23 01:25,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-23 01:25,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-23 01:25,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-23 01:25,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-23 01:25,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-23 01:25,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-23 02:23,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3996,3,29
2026-02-23 02:23,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1562,2,9
2026-02-23 02:23,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,459,0,0
2026-02-23 02:23,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-23 02:23,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-23 02:23,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-23 02:23,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-23 02:23,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-23 02:23,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-23 02:23,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-23 02:23,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-23 02:23,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-23 02:23,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-23 03:23,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,3999,3,32
2026-02-23 03:23,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1563,1,10
