# Generated from assets/fonts/lucide.ttf (best cmap, PUA only)
a-arrow-down	E585
a-arrow-up	E586
a-large-small	E587
accessibility	E297
activity	E038
activity-square	E4B4
air-vent	E34D
airplay	E039
alarm-check	E1EC
alarm-clock	E03A
alarm-clock-minus	E1ED
alarm-clock-off	E23B
alarm-clock-plus	E1EE
alarm-smoke	E57B
album	E03B
alert-circle	E077
alert-octagon	E127
alert-triangle	E193
align-center	E182
align-center-horizontal	E26C
align-center-vertical	E26D
align-end-horizontal	E26E
align-end-vertical	E26F
align-horizontal-distribute-center	E03C
align-horizontal-distribute-end	E03D
align-horizontal-distribute-start	E03E
align-horizontal-justify-center	E272
align-horizontal-justify-end	E273
align-horizontal-justify-start	E274
align-horizontal-space-around	E275
align-horizontal-space-between	E276
align-justify	E184
align-left	E185
align-right	E183
align-start-horizontal	E270
align-start-vertical	E271
align-vertical-distribute-center	E27E
align-vertical-distribute-end	E27F
align-vertical-distribute-start	E280
align-vertical-justify-center	E277
align-vertical-justify-end	E278
align-vertical-justify-start	E279
align-vertical-space-around	E27A
align-vertical-space-between	E27B
ambulance	E5BB
ampersand	E49C
ampersands	E49D
amphora	E61B
anchor	E03F
angry	E2FC
annoyed	E2FD
antenna	E4E2
anvil	E580
aperture	E040
app-window	E426
app-window-mac	E5D2
apple	E34E
archive	E041
archive-restore	E2CD
archive-x	E50C
area-chart	E4D3
armchair	E2C0
arrow-big-down	E1E1
arrow-big-down-dash	E41D
arrow-big-left	E1E2
arrow-big-left-dash	E41E
arrow-big-right	E1E3
arrow-big-right-dash	E41F
arrow-big-up	E1E4
arrow-big-up-dash	E420
arrow-down	E042
arrow-down-0-1	E413
arrow-down-1-0	E414
arrow-down-a-z	E415
arrow-down-circle	E078
arrow-down-from-line	E454
arrow-down-left	E043
arrow-down-left-from-circle	E3F7
arrow-down-left-from-square	E5A1
arrow-down-left-square	E4B5
arrow-down-narrow-wide	E044
arrow-down-right	E045
arrow-down-right-from-circle	E3F8
arrow-down-right-from-square	E5A2
arrow-down-right-square	E4B6
arrow-down-square	E427
arrow-down-to-dot	E44D
arrow-down-to-line	E455
arrow-down-up	E046
arrow-down-wide-narrow	E047
arrow-down-z-a	E416
arrow-left	E048
arrow-left-circle	E079
arrow-left-from-line	E456
arrow-left-right	E24A
arrow-left-square	E428
arrow-left-to-line	E457
arrow-right	E049
arrow-right-circle	E07A
arrow-right-from-line	E458
arrow-right-left	E417
arrow-right-square	E429
arrow-right-to-line	E459
arrow-up	E04A
arrow-up-0-1	E418
arrow-up-1-0	E419
arrow-up-a-z	E41A
arrow-up-circle	E07B
arrow-up-down	E37D
arrow-up-from-dot	E44E
arrow-up-from-line	E45A
arrow-up-left	E04B
arrow-up-left-from-circle	E3F9
arrow-up-left-from-square	E5A3
arrow-up-left-square	E4B7
arrow-up-narrow-wide	E04C
arrow-up-right	E04D
arrow-up-right-from-circle	E3FA
arrow-up-right-from-square	E5A4
arrow-up-right-square	E4B8
arrow-up-square	E42A
arrow-up-to-line	E45B
arrow-up-wide-narrow	E41B
arrow-up-z-a	E41C
arrows-up-from-line	E4D4
asterisk	E1EF
asterisk-square	E168
at-sign	E04E
atom	E3D7
audio-lines	E55A
audio-waveform	E55B
award	E04F
axe	E050
axis-3-d	E2FE
baby	E2CE
backpack	E2C8
badge	E474
badge-alert	E475
badge-cent	E50F
badge-check	E241
badge-dollar-sign	E476
badge-euro	E510
badge-help	E47B
badge-indian-rupee	E511
badge-info	E477
badge-japanese-yen	E512
badge-minus	E478
badge-percent	E479
badge-plus	E47A
badge-pound-sterling	E513
badge-russian-ruble	E514
badge-swiss-franc	E515
badge-turkish-lira	E67E
badge-x	E47C
baggage-claim	E2C9
balloon	E6AF
ban	E051
banana	E34F
bandage	E61D
banknote	E052
banknote-arrow-down	E64C
banknote-arrow-up	E64D
banknote-x	E64E
bar-chart	E06A
bar-chart-2	E068
bar-chart-3	E2A3
bar-chart-4	E2A4
bar-chart-big	E4A9
bar-chart-horizontal	E2A2
bar-chart-horizontal-big	E4A7
barcode	E533
barrel	E675
baseline	E285
bath	E2AB
battery	E053
battery-charging	E054
battery-full	E055
battery-low	E056
battery-medium	E057
battery-plus	E63E
battery-warning	E3AC
beaker	E058
bean	E38F
bean-off	E390
bed	E2C1
bed-double	E2C2
bed-single	E2C3
beef	E3A5
beer	E2CF
beer-off	E5D9
bell	E059
bell-dot	E42B
bell-electric	E57C
bell-minus	E1F0
bell-off	E05A
bell-plus	E1F1
bell-ring	E224
between-horizonal-end	E591
between-horizonal-start	E592
between-vertical-end	E593
between-vertical-start	E594
biceps-flexed	E5EB
bike	E1D2
binary	E1F2
binoculars	E621
biohazard	E441
bird	E3C5
birdhouse	E69A
bitcoin	E05B
blend	E59C
blinds	E3C0
blocks	E4FA
bluetooth	E05C
bluetooth-connected	E1B8
bluetooth-off	E1B9
bluetooth-searching	E1BA
bold	E05D
bolt	E58C
bomb	E2FF
bone	E358
book	E05E
book-a	E544
book-alert	E672
book-audio	E545
book-check	E546
book-copy	E3EC
book-dashed	E3ED
book-down	E3EE
book-headphones	E547
book-heart	E548
book-image	E549
book-key	E3EF
book-lock	E3F0
book-marked	E3F1
book-minus	E3F2
book-open	E05F
book-open-check	E381
book-open-text	E54A
book-plus	E3F3
book-search	E6AB
book-text	E54B
book-type	E54C
book-up	E3F4
book-up-2	E4A6
book-user	E54D
book-x	E3F5
bookmark	E060
bookmark-check	E51F
bookmark-minus	E23C
bookmark-plus	E23D
bookmark-x	E520
boom-box	E4EE
bot	E1BB
bot-message-square	E5CE
bot-off	E5E0
bottle-wine	E67B
bow-arrow	E65E
box	E061
box-select	E1CB
boxes	E2D0
braces	E36A
brackets	E443
brain	E3C6
brain-circuit	E3C7
brain-cog	E3C8
brick-wall	E581
brick-wall-fire	E653
brick-wall-shield	E690
briefcase	E062
briefcase-business	E5D5
briefcase-conveyor-belt	E62B
briefcase-medical	E5D6
bring-to-front	E4EF
brush	E1D3
brush-cleaning	E666
bubbles	E654
bug	E20C
bug-off	E50D
bug-play	E50E
building	E1CC
building-2	E290
bus	E1D4
bus-front	E4FB
cable	E4E3
cable-car	E4FC
cake	E344
cake-slice	E4B9
calculator	E1BC
calendar	E063
calendar-1	E630
calendar-arrow-down	E5FE
calendar-arrow-up	E5FF
calendar-check	E2B7
calendar-check-2	E2B8
calendar-clock	E304
calendar-cog	E5ED
calendar-days	E2B9
calendar-fold	E5B4
calendar-heart	E305
calendar-minus	E2BA
calendar-minus-2	E5B5
calendar-off	E2BB
calendar-plus	E2BC
calendar-plus-2	E5B6
calendar-range	E2BD
calendar-search	E306
calendar-sync	E636
calendar-x	E2BE
calendar-x-2	E2BF
calendars	E6A7
camera	E064
camera-off	E065
candlestick-chart	E4A8
candy	E391
candy-cane	E4BA
candy-off	E392
cannabis	E5D4
captions	E3A4
captions-off	E5C1
car	E1D5
car-front	E4FD
car-taxi-front	E4FE
caravan	E539
card-sim	E671
carrot	E25A
case-lower	E3D8
case-sensitive	E3D9
case-upper	E3DA
cassette-tape	E4CA
cast	E066
castle	E3E0
cat	E38C
cctv	E57D
chart-bar-decreasing	E607
chart-bar-increasing	E608
chart-bar-stacked	E609
chart-column-decreasing	E067
chart-column-stacked	E60A
chart-gantt	E624
chart-line	E2A5
chart-network	E60B
chart-no-axes-column-decreasing	E069
chart-no-axes-combined	E60C
chart-no-axes-gantt	E4C4
chart-pie	E06B
chart-scatter	E48A
chart-spline	E60D
check	E06C
check-check	E38E
check-circle	E07C
check-circle-2	E226
check-line	E66B
check-square	E16A
check-square-2	E559
chef-hat	E2AC
cherry	E350
chess-bishop	E6A0
chess-king	E6A1
chess-knight	E6A2
chess-pawn	E6A3
chess-queen	E6A4
chess-rook	E6A5
chevron-down	E06D
chevron-down-circle	E4DD
chevron-down-square	E3CF
chevron-first	E243
chevron-last	E244
chevron-left	E06E
chevron-left-circle	E4DE
chevron-left-square	E3D0
chevron-right	E06F
chevron-right-circle	E4DF
chevron-right-square	E3D1
chevron-up	E070
chevron-up-circle	E4E0
chevron-up-square	E3D2
chevrons-down	E071
chevrons-down-up	E228
chevrons-left	E072
chevrons-left-right	E293
chevrons-left-right-ellipsis	E61F
chevrons-right	E073
chevrons-right-left	E294
chevrons-up	E074
chevrons-up-down	E211
chrome	E075
church	E3E1
cigarette	E2C6
cigarette-off	E2C7
circle	E076
circle-dashed	E4B0
circle-divide	E07D
circle-dollar-sign	E47D
circle-dot	E345
circle-dot-dashed	E4B1
circle-ellipsis	E346
circle-equal	E400
circle-fading-arrow-up	E618
circle-fading-plus	E5BC
circle-gauge	E4E1
circle-help	E082
circle-minus	E07E
circle-off	E401
circle-parking	E3C9
circle-parking-off	E3CA
circle-pause	E07F
circle-percent	E51A
circle-play	E080
circle-plus	E081
circle-pound-sterling	E66D
circle-power	E550
circle-slash	E402
circle-slash-2	E213
circle-small	E640
circle-star	E68D
circle-stop	E083
circle-user	E461
circle-user-round	E462
circle-x	E084
circuit-board	E403
citrus	E375
clapperboard	E29B
clipboard	E085
clipboard-check	E219
clipboard-clock	E688
clipboard-copy	E225
clipboard-edit	E307
clipboard-list	E086
clipboard-minus	E5BE
clipboard-paste	E3E8
clipboard-pen-line	E308
clipboard-plus	E5BF
clipboard-type	E309
clipboard-x	E222
clock-1	E24B
clock-10	E24C
clock-11	E24D
clock-12	E24E
clock-2	E24F
clock-3	E250
clock-4	E087
clock-4	E251
clock-5	E252
clock-6	E253
clock-7	E254
clock-8	E255
clock-9	E256
clock-alert	E62A
clock-arrow-down	E600
clock-arrow-up	E601
clock-check	E69E
clock-fading	E64A
clock-plus	E667
closed-caption	E68A
cloud	E088
cloud-alert	E633
cloud-check	E66E
cloud-cog	E30A
cloud-download	E089
cloud-drizzle	E08A
cloud-fog	E214
cloud-hail	E08B
cloud-lightning	E08C
cloud-moon	E215
cloud-moon-rain	E2FA
cloud-off	E08D
cloud-rain	E08E
cloud-rain-wind	E08F
cloud-snow	E090
cloud-sun	E216
cloud-sun-rain	E2FB
cloud-upload	E091
cloudy	E217
clover	E092
club	E496
code	E093
code-2	E206
code-square	E16B
codepen	E094
codesandbox	E095
coffee	E096
cog	E30B
coins	E097
columns-2	E098
columns-3	E099
columns-3-cog	E661
columns-4	E589
combine	E44C
command	E09A
compass	E09B
component	E2AD
computer	E4E4
concierge-bell	E378
cone	E523
construction	E3B4
contact	E09C
contact-2	E463
container	E4D5
contrast	E09D
cookie	E26B
cooking-pot	E584
copy	E09E
copy-check	E3FB
copy-minus	E3FC
copy-plus	E3FD
copy-slash	E3FE
copy-x	E3FF
copyleft	E09F
copyright	E0A0
corner-down-left	E0A1
corner-down-right	E0A2
corner-left-down	E0A3
corner-left-up	E0A4
corner-right-down	E0A5
corner-right-up	E0A6
corner-up-left	E0A7
corner-up-right	E0A8
cpu	E0A9
creative-commons	E3B2
credit-card	E0AA
croissant	E2AE
crop	E0AB
cross	E1E5
crosshair	E0AC
crown	E1D6
cuboid	E524
cup-soda	E2D1
currency	E230
cylinder	E525
dam	E606
database	E0AD
database-backup	E3AB
database-search	E6B1
database-zap	E50B
decimals-arrow-left	E65C
decimals-arrow-right	E65D
delete	E0AE
dessert	E4BB
diameter	E526
diamond	E2D2
diamond-minus	E5E1
diamond-percent	E51B
diamond-plus	E5E2
dice-1	E287
dice-2	E288
dice-3	E289
dice-4	E28A
dice-5	E28B
dice-6	E28C
dices	E2C5
diff	E30C
disc	E0AF
disc-2	E3F6
disc-3	E494
disc-album	E55C
divide	E0B0
divide-square	E16D
dna	E393
dna-off	E394
dock	E5D3
dog	E38D
dollar-sign	E0B1
donut	E4BC
door-closed	E3D5
door-closed-locked	E664
door-open	E3D6
dot	E44F
dot-square	E16E
download	E0B2
drafting-compass	E527
drama	E521
dribbble	E0B3
drill	E58D
drone	E676
droplet	E0B4
droplet-off	E638
droplets	E0B5
drum	E55D
drumstick	E25B
dumbbell	E3A1
ear	E382
ear-off	E383
earth	E1F3
earth-lock	E5CC
eclipse	E59D
edit	E172
edit-2	E12F
edit-3	E130
egg	E25D
egg-fried	E351
egg-off	E395
ellipsis	E0B6
ellipsis-vertical	E0B7
equal	E1BD
equal-approximately	E634
equal-not	E1BE
equal-square	E16F
eraser	E28F
ethernet-port	E620
euro	E0B8
ev-charger	E697
expand	E21A
external-link	E0B9
eye	E0BA
eye-closed	E62E
eye-off	E0BB
facebook	E0BC
factory	E29F
fan	E379
fast-forward	E0BD
feather	E0BE
fence	E582
ferris-wheel	E47F
figma	E0BF
file	E0C0
file-archive	E30D
file-audio-2	E31A
file-axis-3-d	E30E
file-badge-2	E30F
file-bar-chart	E312
file-bar-chart-2	E311
file-box	E310
file-braces	E36B
file-braces-corner	E36C
file-chart-line	E313
file-chart-pie	E314
file-check	E0C1
file-check-2	E0C2
file-clock	E315
file-code	E0C3
file-code-2	E45E
file-cog-2	E316
file-diff	E317
file-digit	E0C4
file-down	E318
file-edit	E31F
file-exclamation-point	E319
file-heart	E31B
file-image	E31C
file-input	E0C5
file-key-2	E31D
file-lock-2	E31E
file-minus	E0C6
file-minus-2	E0C7
file-music	E55E
file-output	E0C8
file-pen-line	E320
file-play	E321
file-plus	E0C9
file-plus-2	E0CA
file-question-mark	E322
file-scan	E323
file-search	E0CB
file-search-2	E324
file-signal	E325
file-sliders	E5A0
file-spreadsheet	E326
file-stack	E4A1
file-symlink	E327
file-terminal	E328
file-text	E0CC
file-type	E329
file-type-2	E36D
file-up	E32A
file-user	E62D
file-video-2	E32B
file-volume	E32C
file-x	E0CD
file-x-2	E0CE
files	E0CF
film	E0D0
filter	E0DC
filter-x	E3B5
fingerprint-pattern	E2CB
fire-extinguisher	E57E
fish	E3A6
fish-off	E3B0
fish-symbol	E4F4
flag	E0D1
flag-off	E292
flag-triangle-left	E237
flag-triangle-right	E238
flame	E0D2
